rank_test_score,mean_test_score,std_test_score,param_svm__C,param_svm__gamma,param_svm__kernel,param_svm__class_weight
1,0.3267118433309466,0.026115816527860422,1.0,0.01,rbf,balanced
2,0.32136311685627095,0.03593971163740885,10.0,scale,linear,
2,0.32136311685627095,0.03593971163740885,10.0,0.01,linear,
4,0.3174289121745276,0.026985050239689345,0.1,scale,linear,
4,0.3174289121745276,0.026985050239689345,0.1,0.01,linear,
6,0.315067453172919,0.02051984438335212,1.0,scale,linear,
6,0.315067453172919,0.02051984438335212,1.0,0.01,linear,
8,0.3084291571739599,0.04174781742060013,1.0,scale,rbf,
9,0.3052383205427315,0.020463672343921397,0.1,0.01,linear,balanced
9,0.3052383205427315,0.020463672343921397,0.1,scale,linear,balanced
11,0.3041646217752714,0.018615709551370912,1.0,scale,rbf,balanced
12,0.29811724615033686,0.02989234369257212,1.0,0.01,rbf,
13,0.29393589832759914,0.03160721376227996,1.0,scale,linear,balanced
13,0.29393589832759914,0.03160721376227996,1.0,0.01,linear,balanced
15,0.2837951654000987,0.020452233804982158,10.0,scale,linear,balanced
15,0.2837951654000987,0.020452233804982158,10.0,0.01,linear,balanced
17,0.27514766177999805,0.05650361200691984,10.0,0.01,rbf,balanced
18,0.2668336978057833,0.04497332870528887,10.0,0.01,rbf,
19,0.25860397322793816,0.006532195688850521,0.1,0.01,rbf,balanced
20,0.254475809290114,0.06248779671161663,10.0,scale,rbf,balanced
21,0.25348469904957066,0.00699670337193491,0.1,scale,rbf,balanced
22,0.25110592837190493,0.05291446881302282,10.0,scale,rbf,
23,0.24748345510213773,0.02326369264440028,0.1,0.01,rbf,
24,0.18797112760961987,0.016099671715610726,0.1,scale,rbf,
